t,aggregate_A_t
370,0.508
371,0.48433333333333334
372,0.49533333333333335
373,0.495
374,0.5106666666666667
375,0.524
376,0.508
377,0.5113333333333333
378,0.5016666666666667
379,0.5076666666666667
380,0.5123333333333333
381,0.501
382,0.49433333333333335
383,0.5043333333333333
384,0.516
385,0.509
386,0.5186666666666667
387,0.5023333333333333
388,0.5043333333333333
389,0.5016666666666667
390,0.5086666666666667
391,0.5106666666666667
392,0.493
393,0.493
394,0.5026666666666667
395,0.5156666666666667
396,0.5133333333333333
397,0.515
398,0.49933333333333335
399,0.48833333333333334
400,0.49866666666666665
401,0.5026666666666667
402,0.49633333333333335
403,0.501
404,0.5036666666666667
405,0.51
406,0.5116666666666667
407,0.49366666666666664
408,0.5166666666666667
409,0.507
410,0.4816666666666667
411,0.5106666666666667
412,0.5173333333333333
413,0.508
414,0.5023333333333333
415,0.5033333333333333
416,0.5063333333333333
417,0.49133333333333334
418,0.501
419,0.5056666666666667
420,0.5116666666666667
421,0.5083333333333333
422,0.5033333333333333
423,0.5033333333333333
424,0.5063333333333333
425,0.501
426,0.487
427,0.49566666666666664
428,0.499
429,0.5063333333333333
430,0.5046666666666667
431,0.49333333333333335
432,0.5036666666666667
433,0.5053333333333333
434,0.487
435,0.495
436,0.49733333333333335
437,0.497
438,0.501
439,0.48966666666666664
440,0.48633333333333334
441,0.4856666666666667
442,0.49133333333333334
443,0.49233333333333335
444,0.49833333333333335
445,0.49
446,0.49266666666666664
447,0.49
448,0.49033333333333334
449,0.501
450,0.487
451,0.48933333333333334
452,0.49533333333333335
453,0.496
454,0.49633333333333335
455,0.489
456,0.49066666666666664
457,0.4826666666666667
458,0.49
459,0.5063333333333333
460,0.499
461,0.4846666666666667
462,0.48033333333333333
463,0.4876666666666667
464,0.502
465,0.5006666666666667
466,0.49066666666666664
467,0.507
468,0.5073333333333333
469,0.5066666666666667
470,0.5196666666666667
471,0.527
472,0.5226666666666666
473,0.511
474,0.5043333333333333
475,0.5033333333333333
476,0.514
477,0.5123333333333333
478,0.5123333333333333
479,0.515
480,0.508
481,0.5256666666666666
482,0.5093333333333333
483,0.5213333333333333
484,0.5086666666666667
485,0.49566666666666664
486,0.503
487,0.48233333333333334
488,0.49
489,0.5046666666666667
490,0.49766666666666665
491,0.49766666666666665
492,0.495
493,0.49033333333333334
494,0.493
495,0.5053333333333333
496,0.4856666666666667
497,0.49266666666666664
498,0.49533333333333335
499,0.49066666666666664
500,0.49566666666666664
501,0.49533333333333335
502,0.512
503,0.52
504,0.5286666666666666
505,0.5213333333333333
506,0.506
507,0.504
508,0.5
509,0.49166666666666664
510,0.5136666666666667
511,0.5106666666666667
512,0.514
513,0.501
514,0.48733333333333334
515,0.48633333333333334
516,0.4836666666666667
517,0.4876666666666667
518,0.49033333333333334
519,0.49166666666666664
520,0.493
521,0.49466666666666664
522,0.484
523,0.48
524,0.4806666666666667
525,0.4886666666666667
526,0.503
527,0.509
528,0.509
529,0.504
530,0.5013333333333333
531,0.5073333333333333
532,0.5076666666666667
533,0.5016666666666667
534,0.515
535,0.519
536,0.5086666666666667
537,0.4856666666666667
538,0.49466666666666664
539,0.49766666666666665
540,0.49866666666666665
541,0.5133333333333333
542,0.49633333333333335
543,0.4866666666666667
544,0.5
545,0.51
546,0.5153333333333333
547,0.501
548,0.49733333333333335
549,0.504
550,0.5076666666666667
551,0.5073333333333333
552,0.5083333333333333
553,0.49266666666666664
554,0.48833333333333334
555,0.49
556,0.496
557,0.49833333333333335
558,0.5056666666666667
559,0.5143333333333333
560,0.5023333333333333
561,0.497
562,0.5003333333333333
563,0.5096666666666667
564,0.5073333333333333
565,0.5006666666666667
566,0.491
567,0.49666666666666665
568,0.49066666666666664
569,0.496
570,0.5043333333333333
571,0.49533333333333335
572,0.49666666666666665
573,0.49866666666666665
574,0.48633333333333334
575,0.497
576,0.49366666666666664
577,0.5046666666666667
578,0.5016666666666667
579,0.49833333333333335
580,0.49166666666666664
581,0.5103333333333333
582,0.5
583,0.47733333333333333
584,0.49733333333333335
585,0.49666666666666665
586,0.49166666666666664
587,0.49366666666666664
588,0.49933333333333335
589,0.508
590,0.51
591,0.49866666666666665
592,0.4886666666666667
593,0.5103333333333333
594,0.511
595,0.5106666666666667
596,0.5276666666666666
597,0.526
598,0.5083333333333333
599,0.5166666666666667
600,0.5176666666666667
601,0.498
602,0.5036666666666667
603,0.501
604,0.5033333333333333
605,0.497
606,0.5003333333333333
607,0.49733333333333335
608,0.5013333333333333
609,0.49733333333333335
610,0.5016666666666667
611,0.507
612,0.484
613,0.4796666666666667
614,0.4723333333333333
615,0.4786666666666667
616,0.479
617,0.49666666666666665
618,0.486
619,0.485
620,0.48333333333333334
621,0.49433333333333335
622,0.5006666666666667
623,0.491
624,0.48433333333333334
625,0.4866666666666667
626,0.502
627,0.518
628,0.5246666666666666
629,0.5263333333333333
630,0.5123333333333333
631,0.49766666666666665
632,0.49833333333333335
633,0.48933333333333334
634,0.49533333333333335
635,0.48633333333333334
636,0.49166666666666664
637,0.494
638,0.48
639,0.4766666666666667
640,0.474
641,0.4696666666666667
642,0.503
643,0.4846666666666667
644,0.48833333333333334
645,0.49333333333333335
646,0.5006666666666667
647,0.5253333333333333
648,0.48033333333333333
649,0.5053333333333333
650,0.51
651,0.5103333333333333
652,0.5143333333333333
653,0.49533333333333335
654,0.49533333333333335
655,0.48933333333333334
656,0.49633333333333335
657,0.51
658,0.5223333333333333
659,0.5213333333333333
660,0.5063333333333333
661,0.5086666666666667
662,0.491
663,0.48333333333333334
664,0.4806666666666667
665,0.49166666666666664
666,0.51
667,0.505
668,0.5036666666666667
669,0.5073333333333333
670,0.518
671,0.5266666666666666
672,0.5173333333333333
673,0.5216666666666666
674,0.5196666666666667
675,0.516
676,0.5026666666666667
677,0.4836666666666667
678,0.47733333333333333
679,0.5043333333333333
680,0.51
681,0.5086666666666667
682,0.497
683,0.499
684,0.5136666666666667
685,0.5146666666666667
686,0.5263333333333333
