t,q_t,p_t
338,-0.9693017485875718,0.24587112240373596
339,-0.9667945722761051,0.2555516040080544
340,-0.9641907165074107,0.26520653045197196
341,-0.9614904416670657,0.27483493624284433
342,-0.9586940177825538,0.28443585854009246
343,-0.9558017244962638,0.29400833725148656
344,-0.9528138510375241,0.3035514151291555
345,-0.9497306961936807,0.31306413786531156
346,-0.9465525682802178,0.32254555418768105
347,-0.943279785109927,0.3319947159546318
348,-0.9399126739611252,0.3414106782499871
349,-0.9364515715449273,0.3507924994775174
350,-0.9328968239715749,0.3601392414550999
351,-0.9292487867158253,0.3694499695085369
352,-0.9255078245814041,0.3787237525650231
353,-0.9216743116645248,0.38795966324625275
354,-0.9177486313164791,0.3971567779611578
355,-0.9137311761053017,0.4063141769982667
356,-0.9096223477765139,0.4154309446176758
357,-0.9054225572129483,0.4245061691426232
358,-0.9011322243936614,0.43353894305065627
359,-0.8967517783519351,0.44252836306438426
360,-0.8922816571323736,0.4514735302418058
361,-0.8877223077470989,0.4603735500662032
362,-0.8830741861310495,0.4692275325355939
363,-0.878337757096387,0.4780345922517311
364,-0.8735134942860148,0.48679384850864316
365,-0.8686018801262141,0.4955044253807043
366,-0.8636034057784008,0.5041654518102274
367,-0.8585185710900096,0.5127760616945695
368,-0.8533478845445094,0.5213353939727421
369,-0.8480918632105547,0.5298425927115175
370,-0.8427510326902791,0.5382968071910216
371,-0.8373259270667344,0.5466971919898066
372,-0.831817088850483,0.5550429070693926
373,-0.8262250689253465,0.5633331178582718
374,-0.8205504264933176,0.5715669953353651
375,-0.8147937290186392,0.579743716112925
376,-0.8089555521710591,0.5878624625188735
377,-0.8030364797682618,0.5959224226785702
378,-0.7970371037174876,0.603922790595999
379,-0.7909580239563417,0.6118627662343681
380,-0.7847998483928003,0.6197415555961138
381,-0.7785631928444194,0.6275583708022998
382,-0.7722486809767543,0.6353124301714057
383,-0.7658569442409914,0.6430029582974944
384,-0.7593886218108044,0.6506291861277533
385,-0.7528443605184363,0.6581903510393995
386,-0.7462248147900163,0.6656856969159417
387,-0.7395306465801175,0.6731144742227924
388,-0.7327625253055605,0.6804759400822208
389,-0.7259211277784731,0.687769358347641
390,-0.7190071381386077,0.6949939996772264
391,-0.7120212477849285,0.7021491416068442
392,-0.7049641553064708,0.7092340686223012
393,-0.6978365664124825,0.716248072230896
394,-0.6906391938618529,0.7231904510322678
395,-0.6833727573918371,0.7300605107885362
396,-0.6760379836460821,0.7368575644937257
397,-0.6686356061019626,0.7435809324424659
398,-0.6611663649972328,0.7502299422979618
399,-0.6536310072560033,0.7568039291592279
400,-0.6460302864140482,0.7633022356275782
401,-0.6383649625434518,0.7697242118723657
402,-0.630635802176601,0.776069215695966
403,-0.6228435782295325,0.7823366125979966
404,-0.6149890699246411,0.7885257758387674
405,-0.6070730627127572,0.7946360865019543
406,-0.599096348194602,0.800666933556491
407,-0.5910597240416273,0.8066177139176721
408,-0.5829639939162485,0.8124878325074615
409,-0.5748099673914782,0.8182767023140001
410,-0.5665984598699686,0.8239837444503073
411,-0.558330292502472,0.8296083882121695
412,-0.5500062921057252,0.8351500711352106
413,-0.5416272910797678,0.840608239051138
414,-0.5331941273247024,0.8459823461431604
415,-0.5247076441569045,0.8512718550005685
416,-0.516168690224691,0.8564762366724764
417,-0.507578119423455,0.8615949707207171
418,-0.49893679081027664,0.8666275452718858
419,-0.49024556851801726,0.8715734570685273
420,-0.4815053216689061,0.8764322115194619
421,-0.472716924287628,0.8812033227492446
422,-0.4638812552139212,0.8858863136467524
423,-0.45499919801469296,0.8904807159128955
424,-0.44607164089566326,0.8949860701074472
425,-0.437099476612544,0.8994019256949883
426,-0.4280836023817635,0.9037278410899598
427,-0.41902491979074485,0.9079633837008224
428,-0.4099243347077471,0.9121081299733149
429,-0.40078275719127854,0.9161616654328101
430,-0.3916011013990909,0.920123584725762
431,-0.3823802854967633,0.9239934916602411
432,-0.37312123156588606,0.9277709992455543
433,-0.3638248655118522,0.9314557297309429
434,-0.3544921169712672,0.9350473146433586
435,-0.34512391921898505,0.9385453948243099
436,-0.335721209074781,0.9419496204657788
437,-0.3262849268096695,0.945259651145201
438,-0.316816016051877,0.9484751558595087
439,-0.30731542369247933,0.9515958130582305
440,-0.2977840997907124,0.9546213106756465
441,-0.2882229974789664,0.9575513461619949
442,-0.2786330728674725,0.960385626513727
443,-0.26901528494869187,0.9631238683028078
444,-0.25937059550141633,0.9657657977050583
445,-0.24969996899459068,0.9683111505275384
446,-0.24000437249086556,0.9707596722349657
447,-0.23028477554989135,0.9731111179751696
448,-0.22054215013136216,0.9753652526035759
449,-0.21077747049781984,0.9775218507067218
450,-0.20099171311722772,0.9795806966247971
451,-0.1911858565653239,0.9815415844732098
452,-0.18136088142776352,0.9834043181631753
453,-0.17151777020206038,0.9851687114213245
454,-0.16165750719933702,0.9868345878083314
455,-0.15178107844589375,0.9884017807365576
456,-0.14188947158460588,0.98987013348671
457,-0.13198367577615955,0.9912394992235138
458,-0.1220646816001356,0.9925097410103954
459,-0.11213348095595164,0.9936807318231758
460,-0.10219106696367208,0.994752354562774
461,-0.09223843386469616,0.9957245020669159
462,-0.08227657692233376,0.996597077120851
463,-0.07230649232227913,0.997369992467074
464,-0.06232917707299228,0.9980431708140504
465,-0.05234562890599813,0.9986165448439452
466,-0.04235684617611338,0.9990900572193557
467,-0.032363827761611015,0.9994636605890443
468,-0.02236757296433249,0.9997373175926741
469,-0.012369081409757532,0.9999110008645447
470,-0.002369352947041598,0.9999846930363286
471,0.00763061245096904,0.999958386738809
472,0.01762981478773458,0.9998320846026154
473,0.02762725414302135,0.9996057992579616
474,0.037621930772893816,0.9992795533333819
475,0.04761284520968899,0.998853379453469
476,0.057598998361963194,0.9983273202356107
477,0.0675793916144012,0.9977014282857288
478,0.07755302692767777,0.9969757661930185
479,0.08751890693826157,0.9961504065236889
480,0.09747603505815156,0.9952254318137069
481,0.10742341557453572,0.9942009345605436
482,0.11736005374936243,0.9930770172139242
483,0.1272849559188142,0.9918537921655833
484,0.13719712959267408,0.9905313817380259
485,0.14709558355357472,0.9891099181722947
486,0.15697932795612,0.9875895436147462
487,0.16684737442586964,0.9859704101028361
488,0.17669873615817672,0.9842526795499159
489,0.18653242801686798,0.9824365237290407
490,0.19634746663275754,0.9805221242557925
491,0.20614287050198382,0.9785096725701189
492,0.2159176600841599,0.9763993699171882
493,0.2256708579003276,0.9741914273272658
494,0.23540148863070523,0.9718860655946107
495,0.2451085792122198,0.969483515255396
496,0.25479115893581317,0.9669840165646558
497,0.2644482595435129,0.9643878194722593
498,0.27407891532525835,0.9616951835979155
499,0.28368216321547124,0.9589063782052119
500,0.2932570428893626,0.9560216821746876
501,0.302802596858965,0.953041383975946
502,0.3123178705688815,0.9499657816388066
503,0.3218019124917411,0.9467951827235035
504,0.33125377422335156,0.943529904289928
505,0.34067251057753967,0.9401702728659235
506,0.35005717968067,0.9367166244146324
507,0.3594068430658323,0.9331693043009
508,0.36872056576668805,0.9295286672567373
509,0.37799741641096707,0.9257950773458491
510,0.387236467313605,0.9219689079272263
511,0.3964367945695116,0.9180505416178107
512,0.4055974781459612,0.9140403702542333
513,0.41471760197459623,0.9099387948536305
514,0.4237962540430338,0.9057462255735423
515,0.43283252648606707,0.9014630816708968
516,0.44182551567645173,0.8970897914600843
517,0.45077432231526876,0.8926267922701258
518,0.45967805152185426,0.8880745304009402
519,0.46853581292328755,0.8834334610787145
520,0.47734672074342854,0.8787040484103809
521,0.48610989389149517,0.8738867653372063
522,0.49482445605017267,0.868982093587498
523,0.5034895357632452,0.8639905236284309
524,0.5121042665227413,0.8589125546170009
525,0.5206677868555852,0.8537486943501092
526,0.5291792404097435,0.8484994592137827
527,0.5376377760398608,0.8431653741315347
528,0.5460425478923742,0.8377469725118736
529,0.5543927154900983,0.8322447961949613
530,0.5626874438162733,0.8266593953984295
531,0.5709259033980668,0.8209913286623578
532,0.5791072703895205,0.8152411627934198
533,0.5872307266539352,0.8094094728082025
534,0.5952954598456844,0.8034968418757044
535,0.6033006634914492,0.7975038612590186
536,0.6112455370708648,0.791431130256207
537,0.6191292860965734,0.7852792561403699
538,0.6269511221936722,0.7790488540989187
539,0.6347102631785517,0.7727405471720575
540,0.6424059331371134,0.7663549661904792
541,0.6500373625023613,0.7598927497122818
542,0.657603788131359,0.7533545439591133
543,0.6651044533815436,0.7467410027515488
544,0.67253860818639,0.7400527874437091
545,0.6799055091304178,0.733290566857125
546,0.6872044195235325,0.7264550172138553
547,0.6944346094746949,0.7195468220688642
548,0.7015953559649099,0.7125666722416663
549,0.7086859429195282,0.7055152657472441
550,0.7157056612798547,0.6983933077262472
551,0.7226538090740532,0.6912015103744776
552,0.7295296914873443,0.6839405928716706
553,0.7363326209314865,0.6766112813095765
554,0.7430619171135358,0.6692143086193514
555,0.7497169071038736,0.6617504144982643
556,0.756296925403501,0.6542203453357274
557,0.7628013140105881,0.6466248541386569
558,0.7692294224862742,0.6389647004561726
559,0.7755806080197116,0.6312406503036426
560,0.7818542354923471,0.6234534760860823
561,0.7880496775414333,0.6156039565209134
562,0.7941663146227653,0.6076928765600924
563,0.8002035350726351,0.5997210273116154
564,0.8061607351689976,0.5916892059604072
565,0.8120373191918432,0.583598215688603
566,0.8178326994827696,0.57544886559523
567,0.8235462965037478,0.5672419706152975
568,0.8291775388950756,0.5589783514383034
569,0.8347258635325139,0.5506588344261656
570,0.8401907155835989,0.5422842515305851
571,0.8455715485631256,0.5338554402098515
572,0.850867824387796,0.5253732433450969
573,0.8560790134300276,0.5168385091560078
574,0.8612045945709161,0.5082520911160031
575,0.8662440552523476,0.4996148478668868
576,0.8711968915282539,0.49092764313298376
577,0.8760626081150072,0.48219134563476745
578,0.8808407184409491,0.4734068290019877
579,0.885530744695047,0.46457497168630774
580,0.8901322178746753,0.4556966568734591
581,0.8946446778325162,0.4467727723949232
582,0.8990676733225739,0.43780421063914776
583,0.9034007620452992,0.4287918684623084
584,0.90764351069182,0.41973664709862274
585,0.9117954949872716,0.4106394520702273
586,0.9158562997332246,0.40150119309662485
587,0.9198255188492042,0.39232278400371273
588,0.9237027554132988,0.3831051426324002
589,0.9274876217018522,0.37384919074682443
590,0.9311797392282353,0.364555853942174
591,0.9347787387806956,0.3552260615521293
592,0.9382842604592779,0.34586074655592947
593,0.9416959537118142,0.336460845485074
594,0.9450134773689794,0.32702729832967
595,0.9482364996784077,0.317561048444433
596,0.9513646983378682,0.3080630424543516
597,0.9543977605274948,0.29853423016002484
598,0.9573353829410687,0.288975564442682
599,0.9601772718163485,0.2793880011688949
600,0.9629231429644466,0.2697724990949909
601,0.9655727217982483,0.26013001977117745
602,0.9681257433598701,0.25046152744538686
603,0.9705819523471559,0.24076798896685173
604,0.9729411031392071,0.2310503736894199
605,0.9752029598209444,0.22130965337461916
606,0.9773672962066996,0.21154680209448096
607,0.979433895862834,0.20176279613413328
608,0.9814025521293822,0.19195861389417218
609,0.9832730681407175,0.18213523579282168
610,0.9850452568452387,0.1722936441678919
611,0.9867189410240753,0.16243482317854532
612,0.9882939533088095,0.1525597587068809
613,0.9897701361982129,0.14266943825934578
614,0.9911473420739964,0.13276485086798473
615,0.9924254332155725,0.1228469869915369
616,0.9936042818138271,0.11291683841638991
617,0.9946837699839003,0.10297539815740128
618,0.9956637897769751,0.09302366035859691
619,0.9965442431910723,0.08306262019375668
620,0.9973250421808503,0.07309327376689707
621,0.9980061086664102,0.06311661801266077
622,0.9985873745411035,0.05313365059662321
623,0.9990687816783427,0.043145369815525976
624,0.999450281937414,0.03315277449744719
625,0.9997318371682916,0.02315686390191866
626,0.9999134192154524,0.01315863761999994
627,0.9999950099206917,0.0031590954743192182
628,0.9999766011249388,-0.006840762580908935
629,0.9998581946690734,-0.016839936559878997
630,0.9996398023937412,-0.02683742654519307
631,0.9993214461381695,-0.03683223278785262
632,0.9989031577379841,-0.04682335580723339
633,0.9983849790220248,-0.05680979649103344
634,0.9977669618081634,-0.06679055619518438
635,0.9970491678981211,-0.0767646368437158
636,0.9962316690712891,-0.08673104102856286
637,0.99531454707755,-0.09668877210930706
638,0.994297893629103,-0.10663683431284032
639,0.9931818103912932,-0.11657423283294231
640,0.9919664089724441,-0.126499973929761
641,0.9906518109126979,-0.1364130650291867
642,0.9892381476718605,-0.1463125148221095
643,0.9877255606162558,-0.15619733336355007
644,0.9861142010045895,-0.1660665321716543
645,0.9844042299728227,-0.17591912432654136
646,0.9825958185180587,-0.18575412456899576
647,0.9806891474814428,-0.19557054939899327
648,0.9786844075300788,-0.20536741717405088
649,0.9765817991379617,-0.21514374820739107
650,0.974381532565931,-0.22489856486591053
651,0.9720838278406435,-0.2346308916679434
652,0.969688914732572,-0.24433975538080946
653,0.9671970327330273,-0.25402418511813746
654,0.9646084310302092,-0.26368321243695364
655,0.9619233684842882,-0.2733158714345261
656,0.9591421136015187,-0.28292119884495515
657,0.9562649445073891,-0.2924982341354997
658,0.9532921489188088,-0.30204601960263067
659,0.9502240241153365,-0.31156360046780135
660,0.9470608769094527,-0.3210500249729253
661,0.943803023615878,-0.33050434447555194
662,0.9404507900199417,-0.339925613543731
663,0.9370045113450034,-0.34931289005055577
664,0.9334645322189306,-0.35866523526837546
665,0.9298312066396358,-0.36798171396266827
666,0.9261048979396771,-0.3772613944855648
667,0.9222859787499245,-0.3865033488690128
668,0.9183748309622969,-0.3957066529175739
669,0.914371845691573,-0.40487038630084327
670,0.91027742323628,-0.41399363264548256
671,0.9060919730386634,-0.42307547962685726
672,0.9018159136437429,-0.4321150190602693
673,0.897449672657458,-0.4411113469917753
674,0.8929936867039073,-0.4500635637885821
675,0.8884484013816863,-0.45897077422901006
676,0.8838142712193272,-0.46783208759201517
677,0.8790917596298461,-0.47664661774626105
678,0.874281338864402,-0.4854134832387323
679,0.8693834899650714,-0.49413180738287965
680,0.8643987027167443,-0.5028007183462887
681,0.8593274755981456,-0.5114193492378631
682,0.8541703157319871,-0.5199868381945137
683,0.8489277388342553,-0.5285023284673449
684,0.8436002691626402,-0.5369649685073293
685,0.8381884394641088,-0.545373912050463
686,0.832692790921631,-0.5537283182023918
687,0.8271138731000609,-0.5620273515225003
688,0.8214522438911809,-0.5702701821074565
689,0.8157084694579118,-0.578455985674202
690,0.8098831241776968,-0.58658394364238
691,0.8039767905850641,-0.5946532432161937
692,0.797990059313373,-0.6026630774656859
693,0.7919235290357505,-0.6106126454074315
694,0.7857778064052243,-0.6185011520846364
695,0.7795535059940577,-0.6263278086466328
696,0.7732512502322917,-0.6340918324277646
697,0.7668716693455024,-0.6417924470256535
698,0.7604154012917786,-0.6494288823788399
699,0.7538830916979257,-0.6570003748437884
700,0.7472753937949029,-0.6645061672712526
701,0.7405929683525007,-0.6719455090819896
702,0.7338364836132631,-0.6793176563418184
703,0.7270066152256643,-0.6866218718360131
704,0.7201040461765429,-0.6938574251430242
